ID,Nome,Grupo,Ácidos gordos saturados,Ácidos gordos monoinsaturados,Ácidos gordos polinsaturados,Ácido linoleico,Hidratos de carbono,Sal,Fibra alimentar,Proteína,Álcool,Água,Ácidos orgânicos,Colesterol,Vitamina A total,Caroteno,Vitamina D,a-tocoferol,Tiamina,Riboflavina,Equivalentes de niacina,Niacina,Vitamina B6,Vitamina B12,Vitamina C,Folatos,Cinza,Sódio,Potássio,Cálcio,Fósforo,Magnésio,Ferro,Zinco
1,Leite de cabra cru,Leites e Produtos Lácteos,2.6 g,1.1 g,0.1 g,0.1 g,4.6 g,100 mg,0 g,3.8 g,0 g,86.9 g,0 g,11 mg,53 µg,0 µg,0.0 µg,0.03 mg,0.05 mg,0.1 mg,1 mg,0.3 mg,0.04 mg,0.08 µg,3 mg,1 µg,0.85 g,40 mg,180 mg,150 mg,120 mg,20 mg,0.2 mg,0.3 mg
2,Leite de ovelha cru,Leites e Produtos Lácteos,3.3 g,1.5 g,0.2 g,0.2 g,4.2 g,92 mg,0 g,5.1 g,0 g,86.9 g,0 g,55 mg,50 µg,0 µg,0.2 µg,0.11 mg,0.06 mg,0.15 mg,1.1 mg,0.2 mg,0.07 mg,0.15 µg,5 mg,5 µg,0.93 g,37 mg,120 mg,190 mg,140 mg,15 mg,0.2 mg,0.7 mg
3,Leite de vaca esterilizado gordo,Leites e Produtos Lácteos,2 g,0.8 g,0.1 g,0.1 g,4.5 g,110 mg,0 g,3 g,0 g,88.3 g,0 g,13 mg,53 µg,21 µg,0.0 µg,0.09 mg,0.04 mg,0.14 mg,1.6 mg,0.9 mg,0.04 mg,0.1 µg,0 mg,0.0 µg,0.72 g,43 mg,150 mg,120 mg,81 mg,10 mg,0.1 mg,0.4 mg
4,Leite de vaca esterilizado magro,Leites e Produtos Lácteos,0.1 g,0 g,0 g,0 g,4.7 g,100 mg,0 g,3.2 g,0 g,91.3 g,0 g,1 mg,0 µg,7 µg,0 µg,0 mg,0.02 mg,0.05 mg,0.9 mg,0.1 mg,0.04 mg,0.1 µg,0 mg,0.0 µg,0.72 g,41 mg,170 mg,120 mg,100 mg,10 mg,0.2 mg,0.8 mg
5,Leite de vaca esterilizado meio gordo,Leites e Produtos Lácteos,0.8 g,0.3 g,0 g,0 g,4.7 g,100 mg,0 g,3.2 g,0 g,89.9 g,0 g,8 mg,17 µg,8 µg,0.0 µg,0.03 mg,0.02 mg,0.11 mg,1 mg,0.2 mg,0.04 mg,0.1 µg,0 mg,0.0 µg,0.72 g,41 mg,160 mg,120 mg,92 mg,10 mg,0.2 mg,0.5 mg
6,Leite de vaca esterilizado achocolatado meio gordo,Leites e Produtos Lácteos,0.6 g,0.3 g,0 g,0 g,9.9 g,140 mg,0 g,3.3 g,0 g,85 g,0 g,6 mg,12 µg,5 µg,0.0 µg,0.07 mg,0.01 mg,0.16 mg,1.9 mg,1.1 mg,0.03 mg,0.08 µg,0 mg,5 µg,0.72 g,55 mg,170 mg,110 mg,92 mg,14 mg,0.3 mg,1 mg
7,Leite de vaca pasteurizado gordo,Leites e Produtos Lácteos,2 g,0.8 g,0.1 g,0.1 g,4.7 g,110 mg,0 g,3 g,0 g,88 g,0 g,13 mg,56 µg,21 µg,0.0 µg,0.09 mg,0.04 mg,0.14 mg,0.9 mg,0.2 mg,0.06 mg,0.39 µg,0 mg,6 µg,0.72 g,43 mg,150 mg,110 mg,88 mg,11 mg,0.1 mg,0.4 mg
8,Leite de vaca pasteurizado gordo especial,Leites e Produtos Lácteos,1.9 g,0.8 g,0.1 g,0.1 g,4.8 g,92 mg,0 g,3.1 g,0 g,88.1 g,0 g,13 mg,38 µg,140 µg,0.0 µg,0.09 mg,0.03 mg,0.16 mg,0.9 mg,0.2 mg,0.06 mg,0.39 µg,1 mg,6 µg,0.72 g,37 mg,150 mg,110 mg,91 mg,10 mg,0.2 mg,0.5 mg
9,Leite de vaca UHT gordo,Leites e Produtos Lácteos,2 g,0.8 g,0.1 g,0.1 g,4.7 g,110 mg,0 g,3 g,0 g,88.1 g,0 g,13 mg,59 µg,29 µg,0.0 µg,0.07 mg,0.04 mg,0.14 mg,0.9 mg,0.2 mg,0.04 mg,0.18 µg,0 mg,1 µg,0.75 g,43 mg,160 mg,110 mg,77 mg,9 mg,0.1 mg,0.4 mg
10,Leite de vaca UHT magro,Leites e Produtos Lácteos,0.1 g,0.1 g,0 g,0 g,4.9 g,100 mg,0 g,3.4 g,0 g,90.5 g,0 g,1 mg,0 µg,0 µg,0 µg,0 mg,0.05 mg,0.18 mg,0.8 mg,0.1 mg,0.05 mg,0.11 µg,0 mg,1 µg,0.77 g,41 mg,160 mg,110 mg,82 mg,10 mg,0.1 mg,0.4 mg
11,Leite de vaca UHT meio gordo,Leites e Produtos Lácteos,0.9 g,0.4 g,0 g,0 g,4.9 g,100 mg,0 g,3.3 g,0 g,89.1 g,0 g,8 mg,22 µg,12 µg,0.0 µg,0.03 mg,0.04 mg,0.18 mg,0.9 mg,0.2 mg,0.05 mg,0.12 µg,0 mg,1 µg,0.76 g,40 mg,160 mg,110 mg,81 mg,9 mg,0.1 mg,0.5 mg
12,Leite de vaca UHT aromatizado meio gordo,Leites e Produtos Lácteos,1 g,0.4 g,0.1 g,0.1 g,7.9 g,100 mg,0 g,3 g,0 g,86.6 g,0 g,8 mg,31 µg,15 µg,0.0 µg,0.03 mg,0.03 mg,0.16 mg,0.9 mg,0.2 mg,0.05 mg,0.19 µg,0 mg,2 µg,0.72 g,42 mg,150 mg,110 mg,86 mg,9 mg,0.4 mg,0.5 mg
13,Leite condensado de vaca,Leites e Produtos Lácteos,5.4 g,2 g,0.3 g,0.2 g,56.4 g,350 mg,0 g,7.8 g,0 g,25 g,0 g,34 mg,161 µg,74 µg,0.0 µg,0.2 mg,0.05 mg,0.4 mg,3 mg,1.2 mg,0.07 mg,0.5 µg,0 mg,14 µg,1.80 g,140 mg,390 mg,340 mg,230 mg,30 mg,0.4 mg,1.2 mg
14,Leite de vaca em pó gordo,Leites e Produtos Lácteos,14.5 g,5.9 g,0.7 g,0.7 g,38.7 g,850 mg,0 g,26.8 g,0 g,2.6 g,0 g,69 mg,296 µg,158 µg,0.2 µg,0.61 mg,0.22 mg,1.2 mg,7.6 mg,1.3 mg,0.48 mg,2 µg,8 mg,46 µg,6.00 g,340 mg,1220 mg,920 mg,750 mg,100 mg,0.6 mg,3.2 mg
15,Leite de vaca em pó magro,Leites e Produtos Lácteos,0.5 g,0.2 g,0 g,0 g,52.7 g,1300 mg,0 g,35.1 g,0 g,3.4 g,0 g,23 mg,0 µg,0 µg,0 µg,0.01 mg,0.32 mg,1.8 mg,10 mg,2.1 mg,0.58 mg,3 µg,9 mg,50 µg,8.05 g,520 mg,1690 mg,1270 mg,1030 mg,140 mg,0.6 mg,4.1 mg
16,Leite de vaca em pó meio gordo,Leites e Produtos Lácteos,7.6 g,3.1 g,0.4 g,0.4 g,45.6 g,1100 mg,0 g,30.7 g,0 g,3.2 g,0 g,41 mg,212 µg,113 µg,0.1 µg,0.3 mg,0.26 mg,1.7 mg,9.2 mg,2 mg,0.51 mg,2.5 µg,6 mg,43 µg,7.05 g,440 mg,1460 mg,1150 mg,880 mg,120 mg,0.4 mg,3.7 mg
17,Leite evaporado de vaca,Leites e Produtos Lácteos,4.4 g,1.8 g,0.2 g,0.2 g,9.8 g,350 mg,0 g,6.6 g,0 g,74 g,0 g,28 mg,129 µg,106 µg,0.0 µg,0.14 mg,0.06 mg,0.31 mg,2.2 mg,0.6 mg,0.06 mg,0.08 µg,0 mg,9 µg,1.80 g,140 mg,320 mg,260 mg,230 mg,22 mg,0.1 mg,0.8 mg
18,Leite humano,Leites e Produtos Lácteos,1.5 g,1.3 g,0.4 g,0.3 g,7.5 g,48 mg,0 g,1.4 g,0 g,87.5 g,0 g,16 mg,68 µg,24 µg,0.0 µg,0.35 mg,0.08 mg,0.03 mg,0.7 mg,0.2 mg,0.01 mg,0.01 µg,4 mg,6 µg,0.20 g,19 mg,69 mg,32 mg,19 mg,4 mg,0.1 mg,0.1 mg
19,Leite humano colostro,Leites e Produtos Lácteos,1.2 g,1.2 g,0.3 g,0.2 g,6.3 g,150 mg,0 g,2.3 g,0 g,87.9 g,0 g,31 mg,184 µg,135 µg,0 µg,1.3 mg,0 mg,0.03 mg,0.85 mg,0.05 mg,0 mg,0.1 µg,2 mg,7 µg,0.40 g,59 mg,83 mg,26 mg,17 mg,4 mg,0.1 mg,0.2 mg
20,Leite humano transição,Leites e Produtos Lácteos,1.5 g,1.5 g,0.5 g,0.3 g,6.6 g,95 mg,0 g,1.6 g,0 g,86.9 g,0 g,24 mg,117 µg,32 µg,0 µg,0.53 mg,0.02 mg,0.03 mg,0.8 mg,0.2 mg,0 mg,0.03 µg,6 mg,6 µg,0.30 g,38 mg,68 mg,24 mg,20 mg,4 mg,0.1 mg,0.1 mg
21,Nata maturada pasteurizada 30% gordura,Leites e Produtos Lácteos,18 g,7.2 g,0.9 g,0.8 g,2.7 g,70 mg,0 g,1.9 g,0 g,63 g,0 g,66 mg,450 µg,232 µg,0.2 µg,1.6 mg,0.02 mg,0.16 mg,0.7 mg,0.3 mg,0.04 mg,0.19 µg,1 mg,7 µg,0.40 g,28 mg,100 mg,60 mg,54 mg,5 mg,0.8 mg,0.2 mg
22,Nata não maturada pasteurizada 33% gordura,Leites e Produtos Lácteos,18.5 g,7.5 g,0.9 g,0.9 g,2.9 g,92 mg,0 g,2 g,0 g,61.6 g,0 g,97 mg,360 µg,186 µg,0.3 µg,1.1 mg,0.02 mg,0.16 mg,0.7 mg,0.2 mg,0.03 mg,0.2 µg,1 mg,7 µg,0.50 g,37 mg,100 mg,32 mg,62 mg,3 mg,0.1 mg,0.2 mg
23,Nata não maturada pasteurizada 36% gordura,Leites e Produtos Lácteos,20.2 g,8.1 g,1 g,0.9 g,1.9 g,70 mg,0 g,2 g,0 g,59.6 g,0 g,91 mg,516 µg,267 µg,0.2 µg,1.1 mg,0.02 mg,0.26 mg,0.7 mg,0.2 mg,0.04 mg,0.2 µg,1 mg,7 µg,0.50 g,28 mg,100 mg,64 mg,59 mg,6 mg,0.2 mg,0.2 mg
24,Nata não maturada pasteurizada para café 15% gordura,Leites e Produtos Lácteos,8.4 g,3.4 g,0.4 g,0.4 g,2.4 g,100 mg,0 g,2 g,0 g,79.9 g,0 g,40 mg,224 µg,96 µg,0.2 µg,0.4 mg,0.02 mg,0.14 mg,0.8 mg,0.3 mg,0.05 mg,0.3 µg,1 mg,7 µg,0.70 g,41 mg,100 mg,68 mg,52 mg,7 mg,0.1 mg,0.2 mg
25,Nata não maturada UHT 35% gordura,Leites e Produtos Lácteos,20 g,7.9 g,1 g,0.9 g,3.1 g,70 mg,0 g,1.8 g,0 g,59.7 g,0 g,74 mg,479 µg,247 µg,0.2 µg,1.9 mg,0.02 mg,0.17 mg,0.7 mg,0.3 mg,0.02 mg,0.17 µg,0 mg,3 µg,0.40 g,28 mg,98 mg,61 mg,52 mg,5 mg,0.2 mg,0.2 mg
26,Nata para bater pasteurizada 34% gordura,Leites e Produtos Lácteos,19 g,8 g,1 g,0.9 g,2.1 g,75 mg,0 g,2.2 g,0 g,61.2 g,0 g,122 mg,444 µg,230 µg,0.2 µg,1.5 mg,0.02 mg,0.15 mg,0.6 mg,0.1 mg,0.02 mg,0.2 µg,0 mg,3 µg,0.50 g,30 mg,98 mg,55 mg,54 mg,6 mg,0.1 mg,0.2 mg
27,Queijo de Alcobaça,Leites e Produtos Lácteos,11.6 g,5.3 g,0.8 g,0.7 g,1.5 g,2350 mg,0 g,16.7 g,0 g,54.1 g,1.6 g,88 mg,105 µg,4 µg,0.2 µg,0.37 mg,0.04 mg,0.4 mg,4.5 mg,0.6 mg,0.07 mg,1.1 µg,0 mg,25 µg,4.10 g,940 mg,67 mg,620 mg,370 mg,45 mg,0.7 mg,2.4 mg
28,Queijo de Alverca curado,Leites e Produtos Lácteos,19.3 g,8.4 g,1.2 g,1.0 g,1 g,2250 mg,0 g,22 g,0 g,37.8 g,1 g,81 mg,210 µg,7 µg,0.2 µg,0.58 mg,0.06 mg,0.35 mg,5.7 mg,0.5 mg,0.1 mg,0.42 µg,0 mg,32 µg,4.30 g,900 mg,88 mg,630 mg,380 mg,58 mg,0.8 mg,3 mg
29,Queijo de Alverca fresco,Leites e Produtos Lácteos,11 g,5.1 g,0.7 g,0.6 g,1.5 g,1720 mg,0 g,16.5 g,0 g,57.6 g,0 g,88 mg,180 µg,6 µg,0.2 µg,0.04 mg,0.04 mg,0.35 mg,4.4 mg,0.5 mg,0.07 mg,1.2 µg,0 mg,24 µg,3.40 g,690 mg,61 mg,590 mg,350 mg,40 mg,0.8 mg,2.1 mg
30,Queijo de Azeitão,Leites e Produtos Lácteos,13.1 g,6 g,0.9 g,0.8 g,0.1 g,2250 mg,0 g,21 g,0 g,48.3 g,1.1 g,88 mg,210 µg,70 µg,0.2 µg,0.4 mg,0.04 mg,0.66 mg,5.5 mg,0.6 mg,0.08 mg,0.37 µg,0 mg,31 µg,4.40 g,900 mg,76 mg,540 mg,420 mg,50 mg,0.7 mg,2.6 mg
31,Queijo Camembert Nacional,Leites e Produtos Lácteos,10.5 g,5 g,0.7 g,0.6 g,0.2 g,1450 mg,0 g,19.2 g,0 g,56.3 g,0 g,75 mg,216 µg,241 µg,0.2 µg,0.54 mg,0.03 mg,0.47 mg,5.7 mg,1.2 mg,0.2 mg,0.97 µg,0 mg,50 µg,4.57 g,580 mg,89 mg,300 mg,220 mg,19 mg,1 mg,2.4 mg
32,Queijo creme para barrar,Leites e Produtos Lácteos,4.9 g,4 g,10.4 g,10.2 g,6.9 g,2450 mg,0 g,9.3 g,0 g,57.8 g,0 g,18 mg,66 µg,0 µg,0 µg,7.6 mg,0.04 mg,0.26 mg,3.8 mg,1.6 mg,0.05 mg,0.3 µg,0 mg,13 µg,4.00 g,980 mg,220 mg,300 mg,660 mg,18 mg,0.2 mg,1.3 mg
33,Queijo Emmental,Leites e Produtos Lácteos,18.6 g,8.6 g,0.9 g,0.7 g,0 g,980 mg,0 g,28.9 g,0 g,36 g,0.4 g,98 mg,250 µg,108 µg,0.6 µg,0.43 mg,0.04 mg,0.37 mg,7.3 mg,0.1 mg,0.07 mg,2.1 µg,1 mg,11 µg,4.00 g,390 mg,100 mg,1080 mg,670 mg,38 mg,0.4 mg,4.7 mg
34,Queijo de Évora,Leites e Produtos Lácteos,17.6 g,8.1 g,1.2 g,1.0 g,1.3 g,8150 mg,0 g,26.3 g,0 g,27 g,1.7 g,55 mg,180 µg,6 µg,0.4 µg,0.6 mg,0.06 mg,0.58 mg,6.7 mg,0.5 mg,0.12 mg,0.51 µg,0 mg,39 µg,11.2 g,3260 mg,110 mg,750 mg,450 mg,70 mg,0.7 mg,3.7 mg
35,Queijo flamengo 30% gordura,Leites e Produtos Lácteos,7.5 g,3.6 g,1 g,0.4 g,0.2 g,2580 mg,0 g,30 g,0 g,50.8 g,0 g,38 mg,234 µg,175 µg,0.0 µg,0.3 mg,0.05 mg,0.39 mg,7.4 mg,0.4 mg,0.08 mg,1.8 µg,0 mg,35 µg,5.00 g,1030 mg,120 mg,850 mg,500 mg,55 mg,0.9 mg,5.5 mg
36,Queijo flamengo 45% gordura,Leites e Produtos Lácteos,12.6 g,6 g,0.9 g,0.7 g,0.2 g,2120 mg,0 g,26 g,0 g,45.3 g,0.3 g,69 mg,268 µg,201 µg,0.2 µg,0.44 mg,0.04 mg,0.4 mg,6.5 mg,0.4 mg,0.09 mg,2 µg,0 mg,39 µg,4.82 g,850 mg,100 mg,800 mg,510 mg,40 mg,0.8 mg,5.3 mg
37,Queijo fresco açucarado com sabor a fruta,Leites e Produtos Lácteos,1.9 g,0.9 g,0.1 g,0.1 g,11.6 g,95 mg,0 g,7.3 g,0 g,76.2 g,0.6 g,19 mg,60 µg,0 µg,0.0 µg,0.08 mg,0.03 mg,0.19 mg,2.8 mg,1.1 mg,0.03 mg,1.2 µg,0 mg,13 µg,0.70 g,38 mg,160 mg,94 mg,100 mg,10 mg,0.3 mg,0.5 mg
38,Queijo fundido 40% gordura,Leites e Produtos Lácteos,13.8 g,6.6 g,1 g,0.9 g,0.2 g,3480 mg,0 g,22.5 g,0 g,44.5 g,1.3 g,88 mg,242 µg,112 µg,0.1 µg,0.49 mg,0.22 mg,0.32 mg,5.9 mg,0.6 mg,0.08 mg,0.92 µg,0 mg,18 µg,5.53 g,1390 mg,130 mg,750 mg,760 mg,28 mg,0.8 mg,3.2 mg
39,Queijo da Ilha,Leites e Produtos Lácteos,13.8 g,6.6 g,1 g,0.8 g,0.2 g,2480 mg,0 g,31.5 g,0 g,37 g,0 g,69 mg,243 µg,182 µg,0.2 µg,0.49 mg,0.32 mg,0.55 mg,8 mg,0.6 mg,0.1 mg,2.4 µg,0 mg,45 µg,5.50 g,990 mg,110 mg,870 mg,520 mg,44 mg,0.9 mg,2.5 mg
40,Queijo parmesão,Leites e Produtos Lácteos,14.7 g,7.2 g,1.1 g,0.8 g,0.1 g,1920 mg,0 g,37.7 g,0 g,28.2 g,1.5 g,90 mg,248 µg,135 µg,0.3 µg,0.6 mg,0.02 mg,0.4 mg,9.4 mg,0.4 mg,0.1 mg,1.5 µg,0 mg,20 µg,4.70 g,770 mg,150 mg,1300 mg,900 mg,51 mg,1.1 mg,4 mg
41,Queijo quark açucarado magro com sabor a fruta,Leites e Produtos Lácteos,0.1 g,0 g,0 g,0 g,10.8 g,100 mg,0 g,8.4 g,0 g,79.9 g,0 g,8 mg,0 µg,0 µg,0 µg,0 mg,0.02 mg,0.19 mg,3 mg,1 mg,0.09 mg,1.7 µg,0 mg,19 µg,0.80 g,42 mg,150 mg,110 mg,120 mg,10 mg,0.2 mg,0.6 mg
42,Queijo quark natural magro,Leites e Produtos Lácteos,0.2 g,0.1 g,0 g,0 g,4 g,100 mg,0 g,10.3 g,0 g,84.6 g,0 g,7 mg,0 µg,0 µg,0 µg,0 mg,0.03 mg,0.28 mg,3.5 mg,1.1 mg,0.07 mg,1.3 µg,0 mg,14 µg,0.80 g,41 mg,150 mg,120 mg,150 mg,11 mg,0.2 mg,0.7 mg
43,Queijo quark natural meio gordo,Leites e Produtos Lácteos,4.6 g,2.2 g,0.3 g,0.2 g,3.9 g,92 mg,0 g,8.1 g,0 g,78.8 g,0 g,29 mg,90 µg,0 µg,0.0 µg,0.2 mg,0.02 mg,0.24 mg,3 mg,1.1 mg,0.1 mg,1.3 µg,0 mg,14 µg,0.70 g,37 mg,150 mg,100 mg,120 mg,10 mg,0.2 mg,0.4 mg
44,Requeijão 8% de proteína,Leites e Produtos Lácteos,6.1 g,2.9 g,0.4 g,0.3 g,4.1 g,900 mg,0 g,8 g,0 g,73.1 g,0 g,49 mg,146 µg,51 µg,0.0 µg,1.1 mg,0.02 mg,0.19 mg,3.2 mg,1.3 mg,0.01 mg,0.6 µg,0 mg,11 µg,3.50 g,360 mg,150 mg,300 mg,190 mg,19 mg,0.1 mg,0.8 mg
45,Requeijão 13% de proteína,Leites e Produtos Lácteos,6.8 g,3.3 g,0.5 g,0.4 g,5.1 g,700 mg,0 g,13 g,0 g,65.4 g,0 g,46 mg,139 µg,48 µg,0.0 µg,1.5 mg,0.03 mg,0.28 mg,4.5 mg,1.5 mg,0.01 mg,0.8 µg,0 mg,15 µg,3.80 g,280 mg,210 mg,470 mg,300 mg,24 mg,0.3 mg,1.1 mg
46,Queijo Roquefort,Leites e Produtos Lácteos,16.6 g,7.6 g,1.1 g,1.0 g,0.2 g,3900 mg,0 g,22 g,0 g,41.4 g,0 g,75 mg,210 µg,120 µg,0.3 µg,0.53 mg,0.05 mg,0.5 mg,6 mg,0.8 mg,0.24 mg,1.3 µg,0 mg,38 µg,5.00 g,1560 mg,270 mg,770 mg,450 mg,24 mg,1.1 mg,2.8 mg
47,Queijo da Serra curado,Leites e Produtos Lácteos,16.6 g,7.6 g,1.1 g,1.0 g,0.2 g,1980 mg,0 g,25.5 g,0 g,36.5 g,1 g,81 mg,285 µg,10 µg,0.2 µg,0.53 mg,0.05 mg,0.65 mg,6.8 mg,0.8 mg,0.11 mg,1.4 µg,0 mg,38 µg,5.30 g,790 mg,90 mg,820 mg,580 mg,59 mg,0.8 mg,3.1 mg
48,Queijo da Serra fresco,Leites e Produtos Lácteos,14.2 g,6.5 g,0.9 g,0.8 g,0.2 g,1780 mg,0 g,21 g,0 g,45.5 g,1.6 g,88 mg,240 µg,80 µg,0.2 µg,0.45 mg,0.05 mg,0.6 mg,5.6 mg,0.7 mg,0.09 mg,1.4 µg,0 mg,31 µg,4.72 g,710 mg,80 mg,700 mg,480 mg,53 mg,0.7 mg,2.8 mg
49,Queijo de Serpa,Leites e Produtos Lácteos,13.5 g,6.2 g,0.9 g,0.8 g,0.3 g,2480 mg,0 g,24.8 g,0 g,43 g,1 g,88 mg,195 µg,6 µg,0.2 µg,0.43 mg,0.05 mg,0.7 mg,4.7 mg,0.8 mg,0.09 mg,1.1 µg,0 mg,37 µg,5.20 g,990 mg,85 mg,710 mg,600 mg,56 mg,1.3 mg,3 mg
50,Iogurte natural sólido magro,Leites e Produtos Lácteos,0.1 g,0.1 g,0 g,0 g,5.2 g,180 mg,0 g,4.6 g,0 g,89 g,0.2 g,2 mg,17 µg,10 µg,0 µg,0 mg,0.04 mg,0.27 mg,1.2 mg,0.2 mg,0.03 mg,0 µg,0 mg,1.5 µg,0.75 g,72 mg,200 mg,160 mg,120 mg,14 mg,0.2 mg,0.6 mg
51,Iogurte natural sólido meio gordo,Leites e Produtos Lácteos,1 g,0.4 g,0.1 g,0.1 g,5 g,160 mg,0 g,4.2 g,0 g,87.9 g,0.4 g,6 mg,30 µg,17 µg,0 µg,0.03 mg,0.03 mg,0.24 mg,1.1 mg,0.2 mg,0.03 mg,0 µg,0 mg,1.7 µg,0.75 g,62 mg,180 mg,120 mg,110 mg,12 mg,0.2 mg,0.5 mg
52,Iogurte açucarado batido gordo com fruta,Leites e Produtos Lácteos,1.8 g,0.7 g,0.1 g,0.1 g,12.4 g,98 mg,0 g,4.2 g,0 g,79.3 g,0.2 g,12 mg,52 µg,115 µg,0 µg,0.05 mg,0.03 mg,0.17 mg,1.1 mg,0.2 mg,0.03 mg,0 µg,0 mg,2.5 µg,0.75 g,39 mg,150 mg,120 mg,91 mg,10 mg,0.2 mg,0.5 mg
53,Iogurte açucarado batido gordo com cereais e fruta,Leites e Produtos Lácteos,1.8 g,0.7 g,0.1 g,0.1 g,15.8 g,120 mg,0.8 g,4.2 g,0 g,75 g,1 g,8 mg,54 µg,119 µg,0 µg,0.05 mg,0.03 mg,0.22 mg,1.1 mg,0.2 mg,0.04 mg,0 µg,0 mg,3 µg,0.75 g,48 mg,180 mg,120 mg,110 mg,12 mg,0.2 mg,0.5 mg
54,Iogurte açucarado batido meio gordo,Leites e Produtos Lácteos,1.2 g,0.5 g,0.1 g,0.1 g,13.1 g,200 mg,0 g,4.7 g,0 g,78.9 g,0.4 g,8 mg,45 µg,26 µg,0 µg,0.04 mg,0.04 mg,0.27 mg,1.2 mg,0.2 mg,0.04 mg,0 µg,0 mg,8 µg,0.75 g,81 mg,230 mg,160 mg,140 mg,14 mg,0.2 mg,0.6 mg
55,Iogurte açucarado batido meio gordo com fruta,Leites e Produtos Lácteos,1 g,0.4 g,0.1 g,0 g,14.6 g,180 mg,0 g,4.3 g,0 g,78.2 g,0.4 g,6 mg,36 µg,20 µg,0 µg,0.03 mg,0.03 mg,0.25 mg,1 mg,0.1 mg,0.04 mg,0 µg,0 mg,8.3 µg,0.75 g,72 mg,210 mg,130 mg,110 mg,12 mg,0.2 mg,0.5 mg
56,Iogurte açucarado líquido meio gordo,Leites e Produtos Lácteos,0.8 g,0.3 g,0 g,0 g,11.2 g,120 mg,0 g,3.1 g,0 g,83.6 g,0 g,3 mg,33 µg,19 µg,0 µg,0.02 mg,0.02 mg,0.25 mg,0.9 mg,0.2 mg,0.05 mg,0 µg,0 mg,1.1 µg,0.70 g,46 mg,160 mg,100 mg,85 mg,8 mg,0.2 mg,0.4 mg
57,Iogurte açucarado com edulcorante de síntese batido magro com cereais,Leites e Produtos Lácteos,0.2 g,0.1 g,0 g,0 g,5.7 g,230 mg,1 g,4.3 g,0 g,87.6 g,1.2 g,2 mg,30 µg,17 µg,0 µg,0 mg,0.04 mg,0.25 mg,1.1 mg,0.2 mg,0.04 mg,0 µg,0 mg,1.7 µg,0.75 g,92 mg,200 mg,120 mg,100 mg,17 mg,0.3 mg,0.4 mg
58,Iogurte açucarado com edulcorante de síntese sólido magro,Leites e Produtos Lácteos,0.1 g,0 g,0 g,0 g,6.3 g,230 mg,0 g,5 g,0 g,87.4 g,0.4 g,2 mg,17 µg,41 µg,0 µg,0 mg,0.04 mg,0.25 mg,1.3 mg,0.2 mg,0.04 mg,0 µg,0 mg,1.8 µg,0.75 g,92 mg,260 mg,160 mg,140 mg,14 mg,0.1 mg,0.1 mg
59,Iogurte aromatizado açucarado batido gordo,Leites e Produtos Lácteos,2 g,0.8 g,0.1 g,0.1 g,8.5 g,120 mg,0 g,3.9 g,0 g,82.9 g,0.4 g,8 mg,55 µg,31 µg,0 µg,0.1 mg,0.02 mg,0.18 mg,1 mg,0.2 mg,0.03 mg,0 µg,0 mg,7 µg,0.75 g,46 mg,140 mg,140 mg,95 mg,18 mg,0.2 mg,0.6 mg
60,Iogurte aromatizado açucarado batido meio gordo,Leites e Produtos Lácteos,1.1 g,0.5 g,0.1 g,0.1 g,12.5 g,200 mg,0 g,4.4 g,0 g,80.1 g,0.2 g,8 mg,38 µg,22 µg,0 µg,0.03 mg,0.04 mg,0.28 mg,1.1 mg,0.2 mg,0.04 mg,0 µg,0 mg,7.6 µg,0.75 g,81 mg,200 mg,130 mg,120 mg,12 mg,0.2 mg,0.4 mg
61,Iogurte aromatizado açucarado líquido magro,Leites e Produtos Lácteos,0.2 g,0.1 g,0 g,0 g,11.6 g,150 mg,0 g,3.2 g,0 g,84.2 g,0 g,1 mg,16 µg,9 µg,0 µg,0 mg,0.02 mg,0.18 mg,0.9 mg,0.2 mg,0.03 mg,0 µg,0 mg,6 µg,0.75 g,60 mg,120 mg,81 mg,72 mg,8 mg,0.2 mg,0.3 mg
62,Iogurte aromatizado açucarado líquido meio gordo,Leites e Produtos Lácteos,0.7 g,0.3 g,0 g,0 g,11.5 g,100 mg,0 g,3 g,0 g,83.3 g,0.2 g,3 mg,33 µg,19 µg,0 µg,0.02 mg,0.02 mg,0.17 mg,0.8 mg,0.2 mg,0.03 mg,0 µg,0 mg,6.4 µg,0.75 g,42 mg,98 mg,100 mg,78 mg,8 mg,0.2 mg,0.3 mg
63,Iogurte aromatizado açucarado sólido magro,Leites e Produtos Lácteos,0.1 g,0 g,0 g,0 g,11.8 g,180 mg,0 g,5 g,0 g,82 g,0.4 g,1 mg,18 µg,10 µg,0 µg,0 mg,0.04 mg,0.3 mg,0.3 mg,0.2 mg,0.03 mg,0 µg,0 mg,6.8 µg,0.75 g,73 mg,210 mg,150 mg,120 mg,12 mg,0.3 mg,0.4 mg
64,Iogurte aromatizado açucarado sólido meio gordo,Leites e Produtos Lácteos,0.9 g,0.4 g,0.1 g,0 g,10.1 g,140 mg,0 g,4.1 g,0 g,83.3 g,0.2 g,6 mg,38 µg,22 µg,0 µg,0.03 mg,0.03 mg,0.21 mg,1.1 mg,0.2 mg,0.03 mg,0 µg,0 mg,6.4 µg,0.75 g,58 mg,170 mg,130 mg,100 mg,12 mg,0.2 mg,0.5 mg
