ID,Nome,Grupo,Ácidos gordos saturados,Ácidos gordos monoinsaturados,Ácidos gordos polinsaturados,Ácido linoleico,Hidratos de carbono,Sal,Fibra alimentar,Proteína,Álcool,Água,Ácidos orgânicos,Colesterol,Vitamina A total,Caroteno,Vitamina D,a-tocoferol,Tiamina,Riboflavina,Equivalentes de niacina,Niacina,Vitamina B6,Vitamina B12,Vitamina C,Folatos,Cinza,Sódio,Potássio,Cálcio,Fósforo,Magnésio,Ferro,Zinco
287,Frango inteiro com pele assado sem molho,Carne e Derivados Criação e Caça,3.4 g,4.7 g,2.9 g,2.6 g,0 g,700 mg,0 g,27.6 g,0 g,55.6 g,0 g,139 mg,20 µg,0 µg,0.9 µg,0.3 mg,0.12 mg,0.32 mg,13 mg,7.5 mg,0.34 mg,0.73 µg,0 mg,7.9 µg,2.08 g,280 mg,350 mg,15 mg,200 mg,25 mg,1.1 mg,1.3 mg
288,Frango inteiro com pele cozido,Carne e Derivados Criação e Caça,2.7 g,3.7 g,2.3 g,2.0 g,0 g,620 mg,0 g,26.1 g,0 g,61.4 g,0 g,128 mg,20 µg,0 µg,0.8 µg,0.3 mg,0.1 mg,0.35 mg,11 mg,6.1 mg,0.27 mg,0.59 µg,0 mg,7 µg,1.39 g,250 mg,190 mg,14 mg,180 mg,24 mg,1 mg,1.3 mg
289,Frango inteiro com pele estufado com azeite e margarina,Carne e Derivados Criação e Caça,3.7 g,5.6 g,3.1 g,2.69 g,1.8 g,1180 mg,0.7 g,19.1 g,0 g,60.7 g,0 g,94 mg,58 µg,194 µg,0.3 µg,0.84 mg,0.1 mg,0.24 mg,9.9 mg,4.1 mg,0.25 mg,0.38 µg,7.7 mg,12 µg,2.26 g,470 mg,280 mg,21 mg,130 mg,25 mg,1 mg,0.9 mg
290,Frango inteiro com pele estufado com margarina,Carne e Derivados Criação e Caça,4.1 g,4.8 g,3.3 g,2.88 g,1.8 g,1220 mg,0.7 g,19.1 g,0 g,60.9 g,0 g,94 mg,66 µg,199 µg,0.3 µg,0.65 mg,0.1 mg,0.24 mg,9.9 mg,4.1 mg,0.25 mg,0.38 µg,7.7 mg,12 µg,2.31 g,490 mg,280 mg,21 mg,130 mg,25 mg,1 mg,0.9 mg
291,Frango inteiro com pele estufado sem molho,Carne e Derivados Criação e Caça,3.1 g,4.3 g,2.7 g,2.3 g,0 g,680 mg,0 g,28.8 g,0 g,56.1 g,0 g,138 mg,20 µg,0 µg,0.6 µg,0.01 mg,0.1 mg,0.4 mg,12 mg,6.4 mg,0.49 mg,0.64 µg,0 mg,7.5 µg,1.76 g,270 mg,250 mg,15 mg,200 mg,28 mg,1 mg,1.3 mg
292,Frango inteiro com pele grelhado,Carne e Derivados Criação e Caça,3.4 g,4.7 g,2.9 g,2.6 g,0 g,700 mg,0 g,27.6 g,0 g,55.6 g,0 g,139 mg,20 µg,0 µg,0.9 µg,0.3 mg,0.12 mg,0.32 mg,13 mg,7.5 mg,0.34 mg,0.73 µg,0 mg,7.9 µg,2.08 g,280 mg,350 mg,15 mg,200 mg,25 mg,1.1 mg,1.3 mg
293,Frango inteiro sem pele cru,Carne e Derivados Criação e Caça,0.5 g,0.7 g,0.4 g,0.4 g,0 g,190 mg,0 g,22.9 g,0 g,74 g,0 g,87 mg,10 µg,0 µg,0.2 µg,0.2 mg,0.14 mg,0.19 mg,12 mg,8 mg,0.37 mg,0.72 µg,0 mg,11 µg,1.03 g,77 mg,380 mg,12 mg,200 mg,27 mg,0.9 mg,1 mg
294,Frango inteiro sem pele cozido,Carne e Derivados Criação e Caça,1.1 g,1.5 g,0.9 g,0.9 g,0 g,600 mg,0 g,32.8 g,0 g,61.5 g,0 g,117 mg,7 µg,0 µg,0.2 µg,0.2 mg,0.1 mg,0.27 mg,13 mg,6.8 mg,0.44 mg,0.49 µg,0 mg,9.5 µg,1.46 g,240 mg,310 mg,15 mg,200 mg,25 mg,1.2 mg,1.4 mg
295,Frango inteiro sem pele estufado com azeite e margarina,Carne e Derivados Criação e Caça,1.1 g,1.9 g,0.8 g,0.739 g,1.7 g,1120 mg,0.7 g,21 g,0 g,70.1 g,0 g,78 mg,45 µg,183 µg,0.1 µg,0.8 mg,0.1 mg,0.17 mg,11.1 mg,4.6 mg,0.28 mg,0.32 µg,7.2 mg,12 µg,2.27 g,450 mg,300 mg,21 mg,140 mg,26 mg,1 mg,0.9 mg
296,Frango inteiro sem pele estufado com margarina,Carne e Derivados Criação e Caça,1.4 g,1.1 g,1 g,0.921 g,1.7 g,1150 mg,0.7 g,21 g,0 g,70.4 g,0 g,78 mg,53 µg,188 µg,0.1 µg,0.61 mg,0.1 mg,0.17 mg,11.1 mg,4.6 mg,0.28 mg,0.32 µg,7.2 mg,12 µg,2.31 g,460 mg,300 mg,21 mg,140 mg,26 mg,1 mg,0.9 mg
